U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.424,3.443,3.444,3.4254,3.4245,3.4059,3.4047,3.4233,3.4242,3.4625,3.4642,3.4268,3.4249,3.387,3.3852,3.4224,3.4244,3.4816,3.4839,3.4282,3.4252,3.3682,3.3657,3.4216,3.4242,3.5006,3.5037,3.4293,3.4256,3.3494,3.3462,3.4207,3.4242,3.5192,3.5232,3.4305,3.4258,3.3315,3.3271,3.4196,3.4242,20.0,0.7883933333333334,NMC_15Ah,100
3.4244,3.4437,3.4449,3.4258,3.4249,3.4059,3.4047,3.4235,3.4247,3.4633,3.4653,3.4274,3.4252,3.3866,3.3847,3.4224,3.4245,3.4828,3.4855,3.4286,3.4254,3.3675,3.3645,3.4214,3.4245,3.502,3.5058,3.43,3.4258,3.3489,3.3447,3.4203,3.4244,3.5211,3.5257,3.4312,3.4261,3.3299,3.3248,3.4191,3.4244,20.0,0.7832866666666667,NMC_15Ah,100
3.4282,3.4465,3.4475,3.4296,3.4288,3.4107,3.4096,3.4275,3.4284,3.4653,3.4669,3.4309,3.4291,3.3926,3.3907,3.4268,3.4284,3.4837,3.486,3.4319,3.4293,3.3745,3.3719,3.4258,3.4284,3.5018,3.5048,3.433,3.4296,3.3561,3.3531,3.4249,3.4284,3.5202,3.5237,3.434,3.4298,3.3382,3.3343,3.424,3.4282,20.0,0.7745599999999999,NMC_15Ah,100
3.4254,3.444,3.4449,3.4268,3.426,3.4079,3.4068,3.4247,3.4256,3.4626,3.4644,3.4282,3.4263,3.3896,3.3877,3.4238,3.4258,3.4811,3.4835,3.4293,3.4267,3.3715,3.3689,3.423,3.4258,3.4995,3.5027,3.4305,3.4268,3.3533,3.3501,3.4223,3.4258,3.5176,3.5216,3.4316,3.4272,3.3355,3.3313,3.4212,3.4254,20.0,0.7840733333333334,NMC_15Ah,100
3.42,3.4375,3.4386,3.4216,3.4205,3.4033,3.4022,3.4193,3.4203,3.4553,3.457,3.423,3.421,3.3861,3.3843,3.4184,3.4203,3.4728,3.4755,3.4244,3.4214,3.3691,3.3664,3.4173,3.4203,3.4902,3.4935,3.4256,3.4216,3.3519,3.3484,3.4165,3.4203,3.5074,3.5116,3.4265,3.4217,3.3348,3.3304,3.4152,3.4202,20.0,0.7844133333333333,NMC_15Ah,100
3.4247,3.4447,3.446,3.4263,3.4252,3.4056,3.4042,3.4237,3.4251,3.4651,3.4672,3.4281,3.4256,3.3857,3.3833,3.4226,3.4249,3.4851,3.4881,3.4293,3.4258,3.3659,3.3626,3.4214,3.4249,3.5046,3.5088,3.4307,3.4261,3.3464,3.342,3.4202,3.4247,3.5246,3.5295,3.4321,3.4263,3.3269,3.3217,3.4189,3.4245,20.0,0.7879133333333334,NMC_15Ah,100
3.4191,3.4368,3.4379,3.4205,3.4196,3.4022,3.401,3.4184,3.4195,3.4549,3.4567,3.4219,3.42,3.3847,3.3828,3.4175,3.4193,3.4727,3.4751,3.4231,3.4203,3.3673,3.3645,3.4165,3.4193,3.4904,3.4937,3.4244,3.4205,3.3498,3.3462,3.4156,3.4193,3.5081,3.5122,3.4254,3.4207,3.3322,3.328,3.4149,3.4193,20.0,0.7787066666666667,NMC_15Ah,100
3.4168,3.4335,3.4344,3.4179,3.4172,3.4007,3.3998,3.4161,3.417,3.4507,3.4521,3.4191,3.4175,3.384,3.3826,3.4154,3.417,3.4674,3.4695,3.4203,3.4179,3.3675,3.3654,3.4147,3.4168,3.4842,3.4869,3.4212,3.4181,3.351,3.348,3.4137,3.4168,3.5007,3.5041,3.4221,3.4182,3.3345,3.331,3.4128,3.4166,20.0,0.7849733333333333,NMC_15Ah,100
3.4381,3.457,3.4583,3.44,3.4386,3.4202,3.4186,3.437,3.4384,3.476,3.4784,3.4416,3.4389,3.4014,3.3989,3.4356,3.4382,3.4948,3.4983,3.4432,3.4393,3.3829,3.3791,3.4342,3.4381,3.5134,3.5181,3.4446,3.4395,3.3643,3.3594,3.433,3.4381,3.5318,3.5378,3.4461,3.4396,3.3459,3.3397,3.4316,3.4381,20.0,0.7611333333333333,NMC_15Ah,100
3.4314,3.4507,3.4519,3.433,3.4319,3.413,3.4117,3.4305,3.4317,3.4704,3.4723,3.4344,3.4323,3.3938,3.3917,3.4296,3.4316,3.4895,3.4925,3.4358,3.4326,3.3747,3.3717,3.4284,3.4316,3.5088,3.5127,3.437,3.4328,3.3559,3.3519,3.4274,3.4316,3.5278,3.5325,3.4384,3.433,3.3371,3.3322,3.4263,3.4314,20.0,0.7598666666666667,NMC_15Ah,100
