,U2-U1,U3-U1,U4-U1,U5-U1,U6-U1,U7-U1,U8-U1,U9-U1,U10-U1,U11-U1,U12-U1,U13-U1,U14-U1,U15-U1,U16-U1,U17-U1,U18-U1,U19-U1,U20-U1,U21-U1,U22-U1,U23-U1,U24-U1,U25-U1,U26-U1,U27-U1,U28-U1,U29-U1,U30-U1,U31-U1,U32-U1,U33-U1,U34-U1,U35-U1,U36-U1,U37-U1,U38-U1,U39-U1,U40-U1,U41-U1
U12-U1,0.7295008167724416,0.8548981024925463,0.9965714864591947,0.7968840402374956,-0.7181413305712414,-0.853555085382423,-0.9750193838094942,0.40093354533321873,0.7388836264667469,0.8576540344611205,1.0,0.8462978572007968,-0.7221880768748378,-0.85614717859916,-0.9866338330810489,0.06128161099915207,0.7372961072220098,0.85561021628617,0.9990763027472264,0.8644501856758032,-0.725560554641304,-0.8587051963763965,-0.9898256522628734,-0.2680189344459777,0.7360811511186809,0.853495570978556,0.998820512054636,0.8751653341677607,-0.7264751403610555,-0.8603492096870107,-0.9909520721436196,-0.4795004733324826,0.7341606806663485,0.8512006058474285,0.9985013655319862,0.8809072152142612,-0.7265124366458626,-0.8611298930998517,-0.9914276415067822,-0.6144850601657806
U13-U1,0.6756436766162908,0.7547940231411844,0.8421719849556704,0.9432091261263794,-0.6434154279577735,-0.7323915044430912,-0.7204736923786909,0.6951757011916395,0.6831094370908277,0.7587165606714654,0.8462978572007969,1.0,-0.6514143834846425,-0.7379422348847395,-0.7577132645825556,0.38809609414118906,0.6803200250762201,0.7565957680965609,0.8388931416609757,0.9712512075837962,-0.6563192510687341,-0.7412377739307917,-0.7709618679408311,0.05933839056691342,0.6785172724846117,0.755340545813722,0.8364448460476284,0.9721909429015801,-0.6579194266561693,-0.7430642205392385,-0.7773847917642981,-0.18158532137664823,0.6766899235212992,0.754492398248959,0.8356086549413813,0.9683919827250757,-0.6590011842236274,-0.7441575706403141,-0.7805484757961758,-0.3474027852189801
U14-U1,-0.9990224870952563,-0.9757126043324463,-0.7435026392499796,-0.6403835443856549,0.9997241805926451,0.975124285507926,0.675296491954168,-0.45755196052603486,-0.9988925736356554,-0.9745437743857737,-0.7221880768748378,-0.6514143834846426,1.0,0.9745502498391647,0.6930718534747775,-0.26598120106443474,-0.9990652867744763,-0.975341748124285,-0.7235864058362379,-0.6678607956853269,0.9999154857353668,0.9735302729939826,0.7011013871383458,-0.04149877453035718,-0.99916438561518,-0.9760614118037719,-0.7257601012735645,-0.6655628693451296,0.9998815500940509,0.9728165999627807,0.7089583541159069,0.14854896934779374,-0.999209102435498,-0.976784205437243,-0.7280960425716986,-0.6527938017960819,0.9998352192690608,0.9724310193832888,0.713239114335239,0.27789388843797824
U15-U1,-0.9749230864876293,-0.9991997160765802,-0.8710567772153003,-0.7137869697195699,0.973478546927628,0.9998450111490178,0.8204037013234603,-0.4439223344932487,-0.9778382161468946,-0.9991362417632562,-0.8561471785991599,-0.7379422348847396,0.9745502498391646,1.0,0.835414278218095,-0.19367544245917515,-0.9775724756432611,-0.9991410116680471,-0.8576134560219101,-0.7567010535940137,0.9754506965940376,0.999934170935743,0.8416015712895552,0.0753083987018766,-0.9773517538758927,-0.9990174098579312,-0.8593780183178031,-0.7594175096892535,0.9756531060564524,0.9998796216808561,0.8474333081779585,0.28049380055437045,-0.9768066513038604,-0.9988023813874201,-0.861031623445503,-0.752214443626922,0.9755622892253554,0.9998268948296737,0.8504620348723844,0.41642998529664565
U16-U1,-0.6948027388902435,-0.8286670184273499,-0.98410295854359,-0.706091566025064,0.6905347310830754,0.8338621264781759,0.995628484263602,-0.27940057359928205,-0.7043402040145942,-0.8309338848313552,-0.9866338330810489,-0.7577132645825557,0.6930718534747775,0.835414278218095,1.0,0.05893878891252811,-0.7031403790909355,-0.8289759329638724,-0.9884232700587517,-0.7808673204200677,0.6958249713187257,0.8376558528994779,0.9985784429035174,0.36656332841738803,-0.7022511519990071,-0.8267225906425599,-0.9889478660338633,-0.7950036899346615,0.696497781414654,0.8391179681188304,0.9980440011054841,0.5558752863218215,-0.7004032930071902,-0.8241571303410934,-0.9888231683867805,-0.8050336759516702,0.6961892964352999,0.8397829023649814,0.9973273548221949,0.671909661662986
U17-U1,0.2903206140846864,0.2174061418583522,0.07702303740269802,0.4145318238956405,-0.25844726804133983,-0.1881731931589253,0.10145178980143024,0.7680527867143556,0.28712969136689853,0.2169635907614638,0.06128161099915207,0.3880960941411891,-0.26598120106443474,-0.19367544245917517,0.0589387889125281,1.0,0.2858303961933681,0.2155438744237989,0.05187539877712103,0.36532895216791933,-0.2682632409117203,-0.19522999004083572,0.0345130894467106,0.8168358632716571,0.28373310846510974,0.21490155685711315,0.04558131118280089,0.33505398856585683,-0.269919199004094,-0.1964204841758677,0.0190101508245374,0.7010138756650788,0.2827281456597061,0.21423202334130909,0.04460162158994256,0.3043669607058253,-0.2712945325771268,-0.19710363466202932,0.009213355193945803,0.6009116100663159
U18-U1,0.9997555843803623,0.9799390777628478,0.7577760517392095,0.6686531912060714,-0.9983747069446285,-0.977795450558847,-0.6835927935655844,0.48448862482758925,0.9999374878657882,0.9790098120587511,0.7372961072220097,0.6803200250762201,-0.9990652867744763,-0.9775724756432611,-0.7031403790909355,0.2858303961933681,1.0,0.9796870181085073,0.7381953080637702,0.6958589973396715,-0.9993195481754122,-0.9767734212409046,-0.7118268792203937,0.052694238303024825,0.9999563872705892,0.9803374708479279,0.7400929300880454,0.693429296578631,-0.9993890191441356,-0.9761969029875752,-0.7198891004778204,-0.14386814773684736,0.9999144100462988,0.9810094956288081,0.7422808624335548,0.680191022748019,-0.9994267535757869,-0.9758830225412268,-0.7242834810824446,-0.27803544306615874
U19-U1,0.9771313285318007,0.9998244045968075,0.8700720261739704,0.7326990079133582,-0.9739707344220221,-0.9988168806107489,-0.8121876528864913,0.4674809737643291,0.9800479531186701,0.9999452983475096,0.8556102162861698,0.7565957680965609,-0.975341748124285,-0.9991410116680473,-0.8289759329638725,0.2155438744237989,0.9796870181085073,1.0,0.8566317551370014,0.7743203862672571,-0.9764095332431352,-0.9991699623400156,-0.8357966149798972,-0.057504711493936156,0.9794173705858269,0.9999471243029272,0.8582617561117224,0.7766210736897784,-0.9766654898799457,-0.9991429368510014,-0.8418856868291353,-0.26728233309313093,0.978875149632926,0.9998534781434328,0.859877134645421,0.768533367551862,-0.9766700907226324,-0.9991014188386879,-0.8450156569828539,-0.4067361587243005
U20-U1,0.7303624735650824,0.8558817843139577,0.996382766252783,0.7902373287499939,-0.719727182334993,-0.8551689405341726,-0.9775251498232725,0.39069111339776635,0.7397456455618577,0.8586260032271067,0.9990763027472264,0.8388931416609757,-0.7235864058362379,-0.8576134560219101,-0.9884232700587517,0.05187539877712102,0.7381953080637702,0.8566317551370014,1.0,0.8599529616273804,-0.7268095460939669,-0.8600759470888039,-0.9911737462558015,-0.27380246890983506,0.7370591476490979,0.8545739276777751,0.9993955847403923,0.8704562183887175,-0.7276958528158872,-0.8616715915488992,-0.9923008222396894,-0.4841633207717165,0.735131768165134,0.8522683059322309,0.9991155280350031,0.8763380884154982,-0.7276929281669764,-0.8624403058355512,-0.9926478011424075,-0.6180161995553011
U21-U1,0.6906985440491308,0.7721901267647717,0.8605492083805807,0.9422295394894579,-0.6602400899753136,-0.7514518197073248,-0.7465071744881869,0.6759942120846598,0.6985049005011444,0.7762701603781331,0.8644501856758033,0.9712512075837961,-0.6678607956853269,-0.7567010535940139,-0.7808673204200678,0.36532895216791933,0.6958589973396714,0.7743203862672572,0.8599529616273804,0.9999999999999999,-0.6723759053922118,-0.7597676183899886,-0.7938450043240755,0.040091023013285085,0.6941154320190168,0.7731035194065304,0.8563125524543543,0.9820593748215045,-0.6738731169662292,-0.7616237591455532,-0.7999082759757687,-0.2076727613729068,0.6923484750469211,0.7720980305792561,0.8556644231573316,0.9780094369319553,-0.6748734682020144,-0.7626053289090553,-0.8033487706352355,-0.3732559344661191
