File_Name,Mat,No.,ID,Qn,Q,SOH,Pt,SOC,SOCR,source_file,source_dir,label,sheet,pulse_width_ms,pulse_ms
LMO_C_10_B_77_SOC_5-85_Part_1-1_ID_PIP15N15A03208383.xlsx,LMO,77,PIP15N15A03208383,10,8.746,0.8746,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_78_SOC_5-85_Part_1-1_ID_PIP15N15A03204208.xlsx,LMO,78,PIP15N15A03204208,10,8.9547,0.8954700000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_79_SOC_5-85_Part_1-1_ID_PIP15D26A03252860.xlsx,LMO,79,PIP15D26A03252860,10,9.2377,0.92377,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_7_SOC_5-55_Part_1-1_ID_PIP15829A00217327.xlsx,LMO,7,PIP15829A00217327,10,6.1491,0.61491,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_80_SOC_5-85_Part_1-1_ID_PIP15D26A03256484.xlsx,LMO,80,PIP15D26A03256484,10,9.3203,0.9320299999999999,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_81_SOC_5-85_Part_1-1_ID_PIP15D28A03264309.xlsx,LMO,81,PIP15D28A03264309,10,9.1394,0.91394,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_82_SOC_5-85_Part_1-1_ID_PIP1622500C087737.xlsx,LMO,82,PIP1622500C087737,10,9.1713,0.91713,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_83_SOC_5-85_Part_1-1_ID_PIP15D25A03222735.xlsx,LMO,83,PIP15D25A03222735,10,9.4788,0.94788,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_84_SOC_5-85_Part_1-1_ID_PIP15N08A03232188.xlsx,LMO,84,PIP15N08A03232188,10,8.9175,0.89175,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_85_SOC_5-85_Part_1-1_ID_PIP15N14A03236503.xlsx,LMO,85,PIP15N14A03236503,10,8.7994,0.87994,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
