nohup: ignoring input

==========================================================================================
[READ] Transfer ablation: soft reference
[READ] Source: proposed further-analysis summary, split == 'test'
==========================================================================================

==========================================================================================
[RUN] Transfer ablation: hard
[RUN] Meaning: Use argmax material prediction converted to one-hot downstream context.
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/transfer_ablation/hard
==========================================================================================
[INFO] Device: cpu
[INFO] Material transfer mode: hard
[INFO] Meaning: Use argmax material prediction converted to one-hot downstream context.
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.834720, best_epoch=75
[hard | stage1_soc] Loaded BEST checkpoint from epoch=75 | score=0.8347195965402266
[RESUME-stage2_soh] start_epoch=14, best_score=-0.537601, best_epoch=8
[hard | stage2_soh] epoch 092 | VAL cls=0.9686 | SOC MedAPE(raw)=6.147% | SOH MedAPE(raw)=2.365% | val_score=-0.481241
[hard | stage2_soh] epoch 093 | VAL cls=0.9686 | SOC MedAPE(raw)=6.170% | SOH MedAPE(raw)=2.440% | val_score=-0.473234
[hard | stage2_soh] epoch 094 | VAL cls=0.9686 | SOC MedAPE(raw)=5.570% | SOH MedAPE(raw)=2.617% | val_score=-0.491534
[hard | stage2_soh] epoch 095 | VAL cls=0.9686 | SOC MedAPE(raw)=5.905% | SOH MedAPE(raw)=2.323% | val_score=-0.508397
[hard | stage2_soh] epoch 096 | VAL cls=0.9686 | SOC MedAPE(raw)=6.106% | SOH MedAPE(raw)=2.832% | val_score=-0.518772
[hard | stage2_soh] epoch 097 | VAL cls=0.9686 | SOC MedAPE(raw)=6.160% | SOH MedAPE(raw)=2.450% | val_score=-0.504548
[hard | stage2_soh] epoch 098 | VAL cls=0.9686 | SOC MedAPE(raw)=6.151% | SOH MedAPE(raw)=2.183% | val_score=-0.476655
[hard | stage2_soh] epoch 099 | VAL cls=0.9686 | SOC MedAPE(raw)=6.029% | SOH MedAPE(raw)=2.489% | val_score=-0.488274
[hard | stage2_soh] epoch 100 | VAL cls=0.9686 | SOC MedAPE(raw)=5.749% | SOH MedAPE(raw)=2.385% | val_score=-0.476379
[hard | stage2_soh] epoch 101 | VAL cls=0.9686 | SOC MedAPE(raw)=6.140% | SOH MedAPE(raw)=2.561% | val_score=-0.495517
[hard | stage2_soh] epoch 102 | VAL cls=0.9686 | SOC MedAPE(raw)=5.852% | SOH MedAPE(raw)=2.419% | val_score=-0.515247
[hard | stage2_soh] epoch 103 | VAL cls=0.9686 | SOC MedAPE(raw)=5.709% | SOH MedAPE(raw)=2.262% | val_score=-0.487717
[hard | stage2_soh] epoch 104 | VAL cls=0.9686 | SOC MedAPE(raw)=6.091% | SOH MedAPE(raw)=2.270% | val_score=-0.502792
[hard | stage2_soh] epoch 105 | VAL cls=0.9686 | SOC MedAPE(raw)=5.967% | SOH MedAPE(raw)=2.380% | val_score=-0.521335
[hard | stage2_soh] epoch 106 | VAL cls=0.9686 | SOC MedAPE(raw)=6.109% | SOH MedAPE(raw)=2.326% | val_score=-0.499558
[hard | stage2_soh] epoch 107 | VAL cls=0.9686 | SOC MedAPE(raw)=5.782% | SOH MedAPE(raw)=2.278% | val_score=-0.524866
[hard | stage2_soh] epoch 108 | VAL cls=0.9686 | SOC MedAPE(raw)=5.903% | SOH MedAPE(raw)=2.532% | val_score=-0.497474
[hard | stage2_soh] epoch 109 | VAL cls=0.9686 | SOC MedAPE(raw)=5.792% | SOH MedAPE(raw)=2.633% | val_score=-0.494145
[hard | stage2_soh] epoch 110 | VAL cls=0.9686 | SOC MedAPE(raw)=5.953% | SOH MedAPE(raw)=2.586% | val_score=-0.523597
[hard | stage2_soh] epoch 111 | VAL cls=0.9686 | SOC MedAPE(raw)=6.340% | SOH MedAPE(raw)=2.412% | val_score=-0.511797
[hard | stage2_soh] epoch 112 | VAL cls=0.9686 | SOC MedAPE(raw)=5.912% | SOH MedAPE(raw)=2.442% | val_score=-0.487146
[hard | stage2_soh] epoch 113 | VAL cls=0.9686 | SOC MedAPE(raw)=5.859% | SOH MedAPE(raw)=2.333% | val_score=-0.496981
[hard | stage2_soh] epoch 114 | VAL cls=0.9686 | SOC MedAPE(raw)=5.909% | SOH MedAPE(raw)=2.220% | val_score=-0.512473
[hard | stage2_soh] epoch 115 | VAL cls=0.9686 | SOC MedAPE(raw)=5.756% | SOH MedAPE(raw)=2.155% | val_score=-0.481367
[hard | stage2_soh] epoch 116 | VAL cls=0.9686 | SOC MedAPE(raw)=5.718% | SOH MedAPE(raw)=2.355% | val_score=-0.511048
[hard | stage2_soh] epoch 117 | VAL cls=0.9686 | SOC MedAPE(raw)=5.841% | SOH MedAPE(raw)=2.119% | val_score=-0.514214
