nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.769288, best_epoch=175
[stage1_soc] Loaded BEST checkpoint from epoch=175 | score=0.7692876669159386
[RESUME-stage2_soh] start_epoch=43, best_score=-0.615578, best_epoch=29
[stage2_soh] epoch 146 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.829% | VAL SOH MedAPE(raw)=4.747% | val_score=-0.708729 | TEST cls=0.8688
[stage2_soh] epoch 147 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.176% | VAL SOH MedAPE(raw)=4.528% | val_score=-0.694503 | TEST cls=0.8688
[stage2_soh] epoch 148 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.287% | VAL SOH MedAPE(raw)=4.621% | val_score=-0.706821 | TEST cls=0.8688
[stage2_soh] epoch 149 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.045% | VAL SOH MedAPE(raw)=4.998% | val_score=-0.735181 | TEST cls=0.8688
[stage2_soh] epoch 150 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.045% | VAL SOH MedAPE(raw)=4.367% | val_score=-0.707683 | TEST cls=0.8688
[stage2_soh] epoch 151 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.943% | VAL SOH MedAPE(raw)=4.225% | val_score=-0.689761 | TEST cls=0.8688
[stage2_soh] epoch 152 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.849% | VAL SOH MedAPE(raw)=4.710% | val_score=-0.700026 | TEST cls=0.8688
[stage2_soh] epoch 153 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.909% | VAL SOH MedAPE(raw)=4.454% | val_score=-0.694403 | TEST cls=0.8688
[stage2_soh] epoch 154 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.045% | VAL SOH MedAPE(raw)=5.214% | val_score=-0.716118 | TEST cls=0.8688
[stage2_soh] epoch 155 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.771% | VAL SOH MedAPE(raw)=4.667% | val_score=-0.702927 | TEST cls=0.8688
[stage2_soh] epoch 156 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.031% | VAL SOH MedAPE(raw)=4.467% | val_score=-0.676159 | TEST cls=0.8688
[stage2_soh] epoch 157 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.850% | VAL SOH MedAPE(raw)=4.269% | val_score=-0.679589 | TEST cls=0.8688
