nohup: ignoring input
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 75733 | unique IDs = 512
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] U1-U41 train-only normalization is disabled for this baseline.
Epoch 096 | TE cls=0.8750 | SOC MedAPE(raw)=19.222% | SOH MedAPE(raw)=2.939% | train_select_score=0.854396 | time=33.07s
Epoch 097 | TE cls=0.8219 | SOC MedAPE(raw)=18.400% | SOH MedAPE(raw)=3.433% | train_select_score=0.859695 | time=33.07s
Epoch 098 | TE cls=0.8180 | SOC MedAPE(raw)=17.363% | SOH MedAPE(raw)=3.414% | train_select_score=0.858243 | time=32.90s
Epoch 099 | TE cls=0.8688 | SOC MedAPE(raw)=18.733% | SOH MedAPE(raw)=3.202% | train_select_score=0.856948 | time=32.97s
Epoch 100 | TE cls=0.8625 | SOC MedAPE(raw)=20.346% | SOH MedAPE(raw)=3.623% | train_select_score=0.855658 | time=33.02s
Epoch 101 | TE cls=0.8477 | SOC MedAPE(raw)=18.457% | SOH MedAPE(raw)=3.422% | train_select_score=0.858772 | time=32.96s
Epoch 102 | TE cls=0.8648 | SOC MedAPE(raw)=17.047% | SOH MedAPE(raw)=3.215% | train_select_score=0.857618 | time=32.86s
Epoch 103 | TE cls=0.8664 | SOC MedAPE(raw)=20.476% | SOH MedAPE(raw)=3.326% | train_select_score=0.859786 | time=33.03s
Epoch 104 | TE cls=0.8688 | SOC MedAPE(raw)=15.865% | SOH MedAPE(raw)=3.214% | train_select_score=0.861198 | time=33.07s
Epoch 105 | TE cls=0.8414 | SOC MedAPE(raw)=18.746% | SOH MedAPE(raw)=3.055% | train_select_score=0.863662 | time=32.84s
Epoch 106 | TE cls=0.8336 | SOC MedAPE(raw)=17.451% | SOH MedAPE(raw)=3.328% | train_select_score=0.861229 | time=33.00s
Epoch 107 | TE cls=0.9000 | SOC MedAPE(raw)=16.506% | SOH MedAPE(raw)=2.975% | train_select_score=0.864391 | time=33.87s
Epoch 108 | TE cls=0.8836 | SOC MedAPE(raw)=18.746% | SOH MedAPE(raw)=2.956% | train_select_score=0.862139 | time=33.61s
Epoch 109 | TE cls=0.8375 | SOC MedAPE(raw)=16.108% | SOH MedAPE(raw)=3.684% | train_select_score=0.864365 | time=33.34s
Epoch 110 | TE cls=0.8797 | SOC MedAPE(raw)=14.473% | SOH MedAPE(raw)=2.936% | train_select_score=0.861202 | time=33.49s
Epoch 111 | TE cls=0.8758 | SOC MedAPE(raw)=18.522% | SOH MedAPE(raw)=3.242% | train_select_score=0.861922 | time=33.53s
Epoch 112 | TE cls=0.8781 | SOC MedAPE(raw)=17.364% | SOH MedAPE(raw)=3.114% | train_select_score=0.864103 | time=33.35s
Epoch 113 | TE cls=0.8195 | SOC MedAPE(raw)=19.042% | SOH MedAPE(raw)=3.828% | train_select_score=0.866888 | time=33.34s
