[INFO] Device: cpu
[INFO] Channel mode: ch12 | input_channels=2
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=196, best_score=0.831370, best_epoch=136
[stage2_soh] epoch 099 | VAL cls=0.9745 | SOC MedAPE(raw)=6.571% | SOH MedAPE(raw)=2.234% | val_score=-0.506414
[stage2_soh] epoch 100 | VAL cls=0.9745 | SOC MedAPE(raw)=6.577% | SOH MedAPE(raw)=2.398% | val_score=-0.529942
[stage2_soh] epoch 101 | VAL cls=0.9745 | SOC MedAPE(raw)=6.412% | SOH MedAPE(raw)=2.602% | val_score=-0.532442
[stage2_soh] epoch 102 | VAL cls=0.9745 | SOC MedAPE(raw)=6.439% | SOH MedAPE(raw)=2.318% | val_score=-0.512008
[stage2_soh] epoch 103 | VAL cls=0.9745 | SOC MedAPE(raw)=6.957% | SOH MedAPE(raw)=2.358% | val_score=-0.510569
[stage2_soh] epoch 104 | VAL cls=0.9745 | SOC MedAPE(raw)=6.481% | SOH MedAPE(raw)=2.459% | val_score=-0.540819
[stage2_soh] epoch 105 | VAL cls=0.9745 | SOC MedAPE(raw)=6.567% | SOH MedAPE(raw)=2.502% | val_score=-0.505953
[stage2_soh] epoch 106 | VAL cls=0.9745 | SOC MedAPE(raw)=6.583% | SOH MedAPE(raw)=2.517% | val_score=-0.503776
[stage2_soh] epoch 107 | VAL cls=0.9745 | SOC MedAPE(raw)=6.752% | SOH MedAPE(raw)=2.370% | val_score=-0.507578
[stage2_soh] epoch 108 | VAL cls=0.9745 | SOC MedAPE(raw)=6.501% | SOH MedAPE(raw)=2.300% | val_score=-0.511449
[stage2_soh] epoch 109 | VAL cls=0.9745 | SOC MedAPE(raw)=6.630% | SOH MedAPE(raw)=2.693% | val_score=-0.534792
[stage2_soh] epoch 110 | VAL cls=0.9745 | SOC MedAPE(raw)=6.565% | SOH MedAPE(raw)=2.223% | val_score=-0.503960
[stage2_soh] epoch 111 | VAL cls=0.9745 | SOC MedAPE(raw)=6.505% | SOH MedAPE(raw)=2.519% | val_score=-0.504484
[stage2_soh] epoch 112 | VAL cls=0.9745 | SOC MedAPE(raw)=6.625% | SOH MedAPE(raw)=2.566% | val_score=-0.542419
[stage2_soh] epoch 113 | VAL cls=0.9745 | SOC MedAPE(raw)=6.717% | SOH MedAPE(raw)=2.288% | val_score=-0.505796
[stage2_soh] epoch 114 | VAL cls=0.9745 | SOC MedAPE(raw)=6.646% | SOH MedAPE(raw)=2.543% | val_score=-0.497548
[stage2_soh] epoch 115 | VAL cls=0.9745 | SOC MedAPE(raw)=6.591% | SOH MedAPE(raw)=2.420% | val_score=-0.546445
[stage2_soh] epoch 116 | VAL cls=0.9745 | SOC MedAPE(raw)=6.775% | SOH MedAPE(raw)=2.413% | val_score=-0.551395
[stage2_soh] epoch 117 | VAL cls=0.9745 | SOC MedAPE(raw)=6.316% | SOH MedAPE(raw)=2.765% | val_score=-0.520739
[stage2_soh] epoch 118 | VAL cls=0.9745 | SOC MedAPE(raw)=6.526% | SOH MedAPE(raw)=2.412% | val_score=-0.544805
[stage2_soh] epoch 119 | VAL cls=0.9745 | SOC MedAPE(raw)=6.279% | SOH MedAPE(raw)=2.448% | val_score=-0.499937
[stage2_soh] epoch 120 | VAL cls=0.9745 | SOC MedAPE(raw)=6.367% | SOH MedAPE(raw)=2.536% | val_score=-0.513656
[stage2_soh] epoch 121 | VAL cls=0.9745 | SOC MedAPE(raw)=6.594% | SOH MedAPE(raw)=2.183% | val_score=-0.504249
[stage2_soh] epoch 122 | VAL cls=0.9745 | SOC MedAPE(raw)=6.630% | SOH MedAPE(raw)=2.231% | val_score=-0.502680
[stage2_soh] epoch 123 | VAL cls=0.9745 | SOC MedAPE(raw)=6.613% | SOH MedAPE(raw)=2.339% | val_score=-0.531004
