nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.781562, best_epoch=110
[stage1_soc] Loaded BEST checkpoint from epoch=110 | score=0.7815618664559785
[RESUME-stage2_soh] start_epoch=55, best_score=-0.736911, best_epoch=51
[stage2_soh] epoch 108 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.413% | VAL SOH MedAPE(raw)=5.575% | val_score=-0.779361 | TEST cls=0.8453
[stage2_soh] epoch 109 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.539% | VAL SOH MedAPE(raw)=5.464% | val_score=-0.804590 | TEST cls=0.8453
[stage2_soh] epoch 110 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.698% | VAL SOH MedAPE(raw)=5.558% | val_score=-0.814240 | TEST cls=0.8453
[stage2_soh] epoch 111 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.023% | VAL SOH MedAPE(raw)=5.239% | val_score=-0.757424 | TEST cls=0.8453
[stage2_soh] epoch 112 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.486% | VAL SOH MedAPE(raw)=4.795% | val_score=-0.761892 | TEST cls=0.8453
[stage2_soh] epoch 113 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.664% | VAL SOH MedAPE(raw)=5.237% | val_score=-0.750089 | TEST cls=0.8453
[stage2_soh] epoch 114 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.324% | VAL SOH MedAPE(raw)=4.913% | val_score=-0.785490 | TEST cls=0.8453
[stage2_soh] epoch 115 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.273% | VAL SOH MedAPE(raw)=5.041% | val_score=-0.786172 | TEST cls=0.8453
[stage2_soh] epoch 116 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.203% | VAL SOH MedAPE(raw)=4.982% | val_score=-0.791324 | TEST cls=0.8453
[stage2_soh] epoch 117 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.184% | VAL SOH MedAPE(raw)=5.187% | val_score=-0.781187 | TEST cls=0.8453
[stage2_soh] epoch 118 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.078% | VAL SOH MedAPE(raw)=5.224% | val_score=-0.824176 | TEST cls=0.8453
[stage2_soh] epoch 119 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.521% | VAL SOH MedAPE(raw)=5.623% | val_score=-0.767807 | TEST cls=0.8453
[stage2_soh] epoch 120 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.159% | VAL SOH MedAPE(raw)=5.728% | val_score=-0.792593 | TEST cls=0.8453
[stage2_soh] epoch 121 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.356% | VAL SOH MedAPE(raw)=5.702% | val_score=-0.763124 | TEST cls=0.8453
[stage2_soh] epoch 122 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.410% | VAL SOH MedAPE(raw)=5.068% | val_score=-0.783300 | TEST cls=0.8453
[stage2_soh] epoch 123 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.462% | VAL SOH MedAPE(raw)=5.336% | val_score=-0.778824 | TEST cls=0.8453
[stage2_soh] epoch 124 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.767% | VAL SOH MedAPE(raw)=5.451% | val_score=-0.798607 | TEST cls=0.8453
[stage2_soh] epoch 125 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.412% | VAL SOH MedAPE(raw)=5.241% | val_score=-0.791623 | TEST cls=0.8453
[stage2_soh] epoch 126 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.085% | VAL SOH MedAPE(raw)=5.470% | val_score=-0.797929 | TEST cls=0.8453
[stage2_soh] epoch 127 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.590% | VAL SOH MedAPE(raw)=5.541% | val_score=-0.780062 | TEST cls=0.8453
[stage2_soh] epoch 128 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.379% | VAL SOH MedAPE(raw)=4.971% | val_score=-0.756306 | TEST cls=0.8453
[stage2_soh] epoch 129 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.088% | VAL SOH MedAPE(raw)=4.940% | val_score=-0.787800 | TEST cls=0.8453
