File_Name,Mat,No.,ID,Qn,Q,SOH,Pt,SOC,SOCR,source_file,source_dir,label,sheet,pulse_ms
LMO_C_10_B_91_SOC_5-85_Part_1-1_ID_PIP15N08A03230424.xlsx,LMO,91,PIP15N08A03230424,10,8.7927,0.87927,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_92_SOC_5-85_Part_1-1_ID_PIP15N12A03225967.xlsx,LMO,92,PIP15N12A03225967,10,9.0827,0.9082700000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_93_SOC_5-85_Part_1-1_ID_PIP15N21A03210500.xlsx,LMO,93,PIP15N21A03210500,10,9.0741,0.9074099999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_94_SOC_5-85_Part_1-1_ID_PIP15D25A03226871.xlsx,LMO,94,PIP15D25A03226871,10,9.0497,0.9049699999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_95_SOC_5-85_Part_1-1_ID_PIP15D26A03200099.xlsx,LMO,95,PIP15D26A03200099,10,8.9191,0.89191,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_9_SOC_5-55_Part_1-1_ID_PIP15826A00208229.xlsx,LMO,9,PIP15826A00208229,10,5.7452,0.5745199999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
NMC_C_15_B_10_SOC_5-70_Part_1-1_ID_PJP17530529002A009966.xlsx,NMC,10,PJP17530529002A009966,15,11.6991,0.77994,0.07,5,0.04999333333333333,NMC_15Ah_W_70.xlsx,15Ah NMC,NMC_15Ah,SOC5,70
NMC_C_15_B_11_SOC_5-65_Part_1-1_ID_PJP17530529002A000443.xlsx,NMC,11,PJP17530529002A000443,15,11.342,0.7561333333333333,0.07,5,0.04999333333333333,NMC_15Ah_W_70.xlsx,15Ah NMC,NMC_15Ah,SOC5,70
NMC_C_15_B_12_SOC_5-65_Part_1-1_ID_PJP17930O01002A011242.xlsx,NMC,12,PJP17930O01002A011242,15,11.5908,0.77272,0.07,5,0.04999333333333333,NMC_15Ah_W_70.xlsx,15Ah NMC,NMC_15Ah,SOC5,70
NMC_C_15_B_13_SOC_5-65_Part_1-1_ID_PJP17601527003A007037.xlsx,NMC,13,PJP17601527003A007037,15,11.5449,0.76966,0.07,5,0.04999333333333333,NMC_15Ah_W_70.xlsx,15Ah NMC,NMC_15Ah,SOC5,70
NMC_C_15_B_14_SOC_5-70_Part_1-1_ID_PJP17930O01003A016973.xlsx,NMC,14,PJP17930O01003A016973,15,11.7012,0.78008,0.07,5,0.04999333333333333,NMC_15Ah_W_70.xlsx,15Ah NMC,NMC_15Ah,SOC5,70
