soc_flow_base_noise,soh_flow_base_noise
0.718915,2.9444406
0.93686247,2.7254727
-1.8796415,-2.4718235
-2.0901554,-2.9543316
-2.028405,-1.7412097
0.096052885,2.5552874
0.98093617,0.06418443
0.60406995,2.9449031
2.3550096,2.8420305
2.2915688,-1.3958542
1.4733334,-0.1400578
-0.6969211,-2.976582
-2.5816545,-1.3580348
-2.8977287,-2.9757524
-2.8451512,-1.841384
0.14708078,2.6505527
-2.1611586,-2.6431005
-2.9764147,-2.6511638
-1.4794581,-2.8838937
-2.7481263,-2.9822755
-0.5102146,-2.4877927
-0.53989935,-2.5170655
-2.8755448,-2.9879115
2.9785361,-0.12083483
1.5241232,0.42031133
2.9824116,2.5977564
-2.8515954,1.0906477
0.39173508,-1.4917452
0.812253,0.00049853325
-0.964488,-1.7855407
-1.3391682,-1.1317166
-2.1814504,-0.67352736
0.16249609,-0.06552665
0.04328084,-0.8488103
-0.035767555,0.12512755
-0.6905725,-1.7961886
0.33604264,-1.4335606
1.3983643,-0.67120886
-1.094553,-0.9377325
0.68711495,-1.4321501
-1.2493995,-2.9932761
-1.8258282,-1.0852828
0.6855123,-2.256965
2.0469384,0.8135883
0.19601703,-0.77694035
1.0045629,-2.957562
0.4230907,-0.047599196
0.59208775,-0.81545115
1.7523589,-1.1685002
0.30216908,-1.5335878
0.6561272,-2.043797
-0.83933425,2.9622316
-2.681151,-2.9932017
-2.0328913,-2.9902298
-0.77609134,-2.3527157
-2.4843216,-2.992369
-0.25005627,-1.9182525
2.0510066,-0.53192425
0.17753315,1.5928769
-0.86745644,-0.99140584
1.3055433,1.5465636
-2.7472754,-2.6875327
-0.6199548,-2.0958889
-0.25692487,1.296583
-1.4063102,-1.8735693
-1.1680132,-2.9928927
-0.40845442,-2.9020588
0.8734176,0.06982136
-1.5446612,-2.7197175
-0.15132809,-0.48698068
-0.5085474,-1.7209874
-0.057471037,-2.0839953
0.32098365,0.1748997
1.1337173,-0.5758615
0.29068017,-0.1478247
0.31808114,1.9936526
2.0173044,2.1720984
1.3059049,1.5436623
2.0969968,1.5349822
2.2380342,2.2745683
-0.7992101,-0.8844929
-0.5020392,-0.54723096
-0.28335404,1.7570324
0.3370695,0.424766
0.5719793,-1.9173552
-0.40490484,-2.913342
-0.10338068,-0.6383403
-0.5690472,-2.1039467
-0.59709954,-2.5558548
-1.4099153,-2.8586955
-0.2718537,-1.4501851
-0.8554102,-2.6697347
-2.9455016,-2.9852083
-1.7928299,-2.9380758
2.750002,-1.5025115
2.9399264,0.62068427
1.2077723,1.3815142
-1.6569327,-2.689449
-2.640811,-2.0915895
-2.670858,-2.9407456
-0.33756697,-0.95131236
0.11945897,-0.39568484
1.1466997,2.503242
0.14459497,1.1335108
-1.6839676,-1.4724483
2.1864667,2.9462817
0.25188553,-2.0020974
0.8834268,-1.0420961
0.6718435,-2.3315053
-1.7357699,-2.9940827
2.9923272,-2.2440424
-0.13410473,-0.27043205
-0.93900895,-1.6909226
1.4107621,1.9809195
1.3887302,-2.9384272
0.44309926,-2.9606931
2.6305597,1.8453525
-0.5018357,-2.2258086
2.9461105,1.3850261
-2.9793334,-2.5330677
0.29610395,-0.5759374
-1.3576566,-2.9960594
-2.9853144,-2.938101
-2.867965,-2.977885
2.9570758,2.5209904
1.0013164,2.7045739
-0.7129289,-2.2239904
0.39448187,1.9175662
2.2452612,2.930216
0.8243041,2.5214498
-1.610346,-1.8238865
-2.4066362,-2.932799
-1.9420506,-1.009026
-0.5911119,0.8928261
0.3783456,-0.8198699
0.6444845,2.9556792
2.392816,2.8436131
2.6121695,-1.7128483
2.05191,-0.04068029
-0.6785103,-2.9783986
-2.3852043,-1.136282
-2.9475992,-2.9773211
-2.7750394,-2.57231
-0.9818617,2.7417202
-2.3956437,-2.30489
-2.9702635,-2.5467548
-1.5919269,-2.9269514
-2.8892963,-2.9768703
-0.08841717,-2.1370404
-1.0142736,-2.3188186
-2.8967493,-2.9744241
2.9777524,0.97663987
0.78448534,2.7011735
2.9759154,2.4822764
-2.827636,0.6758807
1.0139353,-1.2817588
0.8330426,0.16537887
-1.4694753,-1.8755991
-1.0159411,-1.089257
-2.3473778,-0.6548126
0.17822385,-0.26611885
1.0195193,-0.5224639
0.11762786,0.24077308
-1.6949205,-1.7281232
0.1517179,-1.3451613
1.3948605,-0.44315827
-0.23724456,-0.7500412
0.06605387,-1.1024016
-1.4527136,-2.983466
-2.3763945,-1.4171046
0.6348202,-2.1318898
2.2830682,0.43127486
0.8769233,-0.55946255
0.002972126,-2.931949
1.3499699,0.45539024
1.2454011,-0.80894846
1.317035,-1.1533027
0.7114234,-1.2090561
2.072102,-0.8392248
1.987288,2.959054
-2.724079,-2.9935179
-1.0860393,-2.9844086
0.3507595,-1.5721489
-2.6422908,-2.992325
0.09630132,-1.6668272
2.1922133,-0.8818114
-0.5555792,0.7027985
-0.4008968,-1.030608
0.92354727,1.2057118
-2.535521,-2.7899423
-0.15251303,-1.5473323
0.0006301403,0.39072138
-0.22508645,-1.6876936
-1.3344853,-2.9924688
-0.32842875,-2.9532766
0.8164511,0.8825735
-1.6208489,-1.5480056
-0.486907,-0.66616106
-0.6242422,-1.3890221
-0.36762953,-2.4087873
1.6858051,0.13823795
0.9327759,-0.7691503
2.3590753,0.19622111
1.247683,1.2549298
0.020487785,0.61805093
1.7107389,2.036842
0.9213774,2.5861611
2.0517302,1.9026439
0.22131157,0.17872861
-0.28605914,-0.99276924
-0.06933808,1.9099703
0.34966135,1.3153237
0.39506102,-2.044712
-0.73608685,-2.780162
-0.36325932,-0.4945513
-0.3568442,-1.9443364
-0.8074137,-2.4946575
-1.2141895,-2.8725328
-0.9722625,-1.6462307
-1.2460753,-2.571047
-2.939623,-2.9728327
-1.905076,-2.9592745
2.8232992,-1.3246496
2.9169939,0.5881481
0.76007795,1.5578268
-1.5114127,-2.8985887
-2.7464695,-2.365623
-2.72856,-2.912824
0.19425696,-0.03377831
1.1669672,-0.0025559308
1.3808022,2.158207
0.9833434,1.1861775
