SOC,SOH,Material,Type
5.0,0.8015807692307693,LMO_26Ah,Fixed_SOC
5.0,0.8326076923076923,LMO_26Ah,Fixed_SOC
5.0,0.8285538461538462,LMO_26Ah,Fixed_SOC
5.0,0.8229153846153847,LMO_26Ah,Fixed_SOC
5.0,0.841,LMO_26Ah,Fixed_SOC
5.0,0.8181076923076923,LMO_26Ah,Fixed_SOC
5.0,0.7960499999999999,LMO_26Ah,Fixed_SOC
5.0,0.9458576923076923,LMO_26Ah,Fixed_SOC
5.0,0.8518576923076923,LMO_26Ah,Fixed_SOC
5.0,0.8239692307692308,LMO_26Ah,Fixed_SOC
5.0,0.9633307692307693,LMO_26Ah,Fixed_SOC
5.0,0.7872769230769231,LMO_26Ah,Fixed_SOC
5.0,1.005915384615385,LMO_26Ah,Fixed_SOC
5.0,0.9821653846153846,LMO_26Ah,Fixed_SOC
5.0,0.985826923076923,LMO_26Ah,Fixed_SOC
5.0,0.964076923076923,LMO_26Ah,Fixed_SOC
5.0,0.9569500000000001,LMO_26Ah,Fixed_SOC
5.0,0.8962346153846154,LMO_26Ah,Fixed_SOC
5.0,0.9238999999999999,LMO_26Ah,Fixed_SOC
5.0,0.9550461538461538,LMO_26Ah,Fixed_SOC
5.0,0.9264346153846154,LMO_26Ah,Fixed_SOC
5.0,0.8827846153846154,LMO_26Ah,Fixed_SOC
5.0,0.8155538461538462,LMO_26Ah,Fixed_SOC
5.0,0.8794307692307692,LMO_26Ah,Fixed_SOC
5.0,0.878776923076923,LMO_26Ah,Fixed_SOC
5.0,0.8557,LMO_26Ah,Fixed_SOC
5.0,0.8728192307692308,LMO_26Ah,Fixed_SOC
5.0,0.8976615384615385,LMO_26Ah,Fixed_SOC
5.0,0.8570692307692307,LMO_26Ah,Fixed_SOC
5.0,0.8976846153846154,LMO_26Ah,Fixed_SOC
5.0,0.8521076923076923,LMO_26Ah,Fixed_SOC
5.0,0.8619346153846154,LMO_26Ah,Fixed_SOC
5.0,0.8787307692307693,LMO_26Ah,Fixed_SOC
5.0,0.8184423076923076,LMO_26Ah,Fixed_SOC
5.0,0.9417423076923076,LMO_26Ah,Fixed_SOC
5.0,1.029492307692308,LMO_26Ah,Fixed_SOC
5.0,1.003103846153846,LMO_26Ah,Fixed_SOC
5.0,0.9745576923076923,LMO_26Ah,Fixed_SOC
5.0,0.9898192307692307,LMO_26Ah,Fixed_SOC
5.0,1.002438461538462,LMO_26Ah,Fixed_SOC
5.0,0.9904884615384616,LMO_26Ah,Fixed_SOC
5.0,0.9382,LMO_26Ah,Fixed_SOC
5.0,0.9196384615384615,LMO_26Ah,Fixed_SOC
5.0,0.9420038461538461,LMO_26Ah,Fixed_SOC
5.0,0.7907192307692308,LMO_26Ah,Fixed_SOC
5.0,0.927873076923077,LMO_26Ah,Fixed_SOC
5.0,0.9536269230769231,LMO_26Ah,Fixed_SOC
